comparison,setting,dataset,model,condition,A_method,B_method,N,A_acc,B_acc,delta,delta_ci,both_correct,A_only_correct,B_only_correct,both_wrong,mcnemar_p,baseline_wrong_N,A_recovery,B_recovery,recovery_delta,recovery_delta_ci,recovery_mcnemar_p,baseline_correct_N,A_regression,B_regression,regression_delta,regression_delta_ci,regression_mcnemar_p,A_structural_clearance,B_structural_clearance,structural_delta,structural_delta_ci,structural_mcnemar_p,A_joint_full_repair,B_joint_full_repair,joint_delta,joint_delta_ci,joint_mcnemar_p,A_em,B_em,em_delta,em_delta_ci,A_f1,B_f1,f1_delta,f1_delta_ci,A_latency_mean_ms,A_latency_median_ms,B_latency_mean_ms,B_latency_median_ms,A_tokens_mean,B_tokens_mean,holm_p,recovery_holm_p,regression_holm_p,structural_holm_p,joint_holm_p
fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,fixed,b0,108,0.5462962962962963,0.24074074074074073,0.3055555555555556,"[0.2037037037037037, 0.4074074074074074]",22,37,4,45,1.0258372640237212e-07,82,0.45121951219512196,0.0,0.45121951219512196,"[0.34146341463414637, 0.5609756097560976]",1.4551915228366852e-11,26,0.15384615384615385,0.0,0.15384615384615385,"[0.038461538461538464, 0.3076923076923077]",0.125,0.5740740740740741,0.0,0.5740740740740741,"[0.48148148148148145, 0.6666666666666666]",4.336808689942018e-19,0.4074074074074074,0.0,0.4074074074074074,"[0.3148148148148148, 0.5]",1.1368683772161603e-13,0.46296296296296297,0.21296296296296297,0.25,"[0.1574074074074074, 0.3425925925925926]",0.5148388648388649,0.2529100529100529,0.26192881192881196,"[0.16428411095077758, 0.3599915824915824]",600.5833333333334,583.0,,,1702.0740740740741,,2.0516745280474424e-07,4.3655745685100555e-11,1.0,3.0357660829594124e-18,3.410605131648481e-13
reverse_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,reverse,b0,108,0.5555555555555556,0.24074074074074073,0.3148148148148149,"[0.2037037037037037, 0.4166666666666667]",20,40,6,42,3.1028037028590916e-07,82,0.4878048780487805,0.0,0.4878048780487805,"[0.3780487804878049, 0.5975609756097561]",1.8189894035458565e-12,26,0.23076923076923078,0.0,0.23076923076923078,"[0.07692307692307693, 0.38461538461538464]",0.03125,0.7870370370370371,0.0,0.7870370370370371,"[0.7129629629629629, 0.8611111111111112]",5.169878828456423e-26,0.5,0.0,0.5,"[0.4074074074074074, 0.5925925925925926]",1.1102230246251565e-16,0.46296296296296297,0.21296296296296297,0.25,"[0.14814814814814814, 0.35185185185185186]",0.5065055315055316,0.2529100529100529,0.25359547859547865,"[0.14768678852012185, 0.3574766514349847]",610.8425925925926,585.0,,,1735.5833333333333,,9.308411108577275e-07,7.275957614183426e-12,0.46875,8.271806125530277e-25,1.2212453270876722e-15
b2_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,b2,b0,108,0.5185185185185185,0.24074074074074073,0.2777777777777778,"[0.12037037037037036, 0.42592592592592593]",1,55,25,27,0.0010527348573533446,82,0.6707317073170732,0.0,0.6707317073170732,"[0.5609756097560976, 0.7682926829268293]",5.551115123125783e-17,26,0.9615384615384616,0.0,0.9615384615384616,"[0.8846153846153846, 1.0]",5.960464477539063e-08,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.46296296296296297,0.21296296296296297,0.25,"[0.10185185185185185, 0.39814814814814814]",0.5190688497553901,0.2529100529100529,0.2661587968453372,"[0.1174348776851217, 0.4112692089424841]",675.25,528.5,,,1505.351851851852,,0.014738288002946826,8.326672684688674e-16,7.748603820800781e-07,1.0,1.0
b3_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,b3,b0,108,0.3888888888888889,0.24074074074074073,0.14814814814814817,"[0.08333333333333333, 0.21296296296296297]",26,16,0,66,3.0517578125e-05,82,0.1951219512195122,0.0,0.1951219512195122,"[0.10975609756097561, 0.2804878048780488]",3.0517578125e-05,26,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.35185185185185186,0.21296296296296297,0.1388888888888889,"[0.07407407407407407, 0.2037037037037037]",0.3882047533363323,0.2529100529100529,0.1352947004262794,"[0.07322194374825955, 0.20260555903648003]",2646.5833333333335,2467.5,,,1476.6944444444443,,0.00042724609375,0.00030517578125,1.0,1.0,1.0
fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,fixed,b0,107,0.8037383177570093,0.4205607476635514,0.38317757009345793,"[0.2803738317757009, 0.48598130841121495]",42,44,3,18,2.4647306418046355e-10,62,0.7096774193548387,0.0,0.7096774193548387,"[0.5967741935483871, 0.8225806451612904]",1.1368683772161603e-13,45,0.06666666666666667,0.0,0.06666666666666667,"[0.0, 0.15555555555555556]",0.25,0.6728971962616822,0.0,0.6728971962616822,"[0.5794392523364486, 0.7570093457943925]",4.235164736271502e-22,0.5794392523364486,0.0,0.5794392523364486,"[0.48598130841121495, 0.6728971962616822]",4.336808689942018e-19,0.7009345794392523,0.35514018691588783,0.34579439252336447,"[0.24299065420560748, 0.4485981308411215]",0.7746180091974484,0.40594592072584235,0.36867208847160604,"[0.2711957490513038, 0.46271340879835]",626.8130841121496,618.0,,,1792.177570093458,,1.7253114492632449e-09,6.821210263296962e-13,1.0,4.658681209898652e-21,4.7704895589362195e-18
reverse_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,reverse,b0,107,0.7850467289719626,0.4205607476635514,0.3644859813084112,"[0.2616822429906542, 0.4672897196261682]",41,43,4,19,2.781192165457469e-09,62,0.6935483870967742,0.0,0.6935483870967742,"[0.5806451612903226, 0.8064516129032258]",2.2737367544323206e-13,45,0.08888888888888889,0.0,0.08888888888888889,"[0.022222222222222223, 0.17777777777777778]",0.125,0.5514018691588785,0.0,0.5514018691588785,"[0.45794392523364486, 0.6448598130841121]",3.469446951953614e-18,0.4672897196261682,0.0,0.4672897196261682,"[0.37383177570093457, 0.5607476635514018]",1.7763568394002505e-15,0.7009345794392523,0.35514018691588783,0.34579439252336447,"[0.24299065420560748, 0.4485981308411215]",0.7590930357285497,0.40594592072584235,0.35314711500270735,"[0.25647279706275034, 0.45093760456456417]",625.9345794392524,612.0,,,1784.1028037383178,,1.6687152992744814e-08,1.8189894035458565e-12,1.0,2.7755575615628914e-17,1.4210854715202004e-14
b2_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,b2,b0,107,0.2897196261682243,0.4205607476635514,-0.13084112149532712,"[-0.27102803738317754, 0.009345794392523364]",9,22,36,40,0.08694889972991102,62,0.3548387096774194,0.0,0.3548387096774194,"[0.24193548387096775, 0.46774193548387094]",4.76837158203125e-07,45,0.8,0.0,0.8,"[0.6666666666666666, 0.9111111111111111]",2.9103830456733704e-11,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.2336448598130841,0.35514018691588783,-0.12149532710280372,"[-0.2523364485981308, 0.009345794392523364]",0.24903455842278902,0.40594592072584235,-0.15691136230305333,"[-0.29400898907083695, -0.018361867955037525]",626.2897196261682,558.0,,,1552.5046728971963,,0.5286308825016022,3.814697265625e-06,4.656612873077393e-10,1.0,1.0
b3_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,b3,b0,107,0.48598130841121495,0.4205607476635514,0.06542056074766356,"[-0.009345794392523364, 0.14018691588785046]",40,12,5,50,0.143463134765625,62,0.1935483870967742,0.0,0.1935483870967742,"[0.0967741935483871, 0.2903225806451613]",0.00048828125,45,0.1111111111111111,0.0,0.1111111111111111,"[0.022222222222222223, 0.2]",0.0625,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.0,0.0,0.0,"[0.0, 0.0]",1.0,0.4485981308411215,0.35514018691588783,0.09345794392523366,"[0.028037383177570093, 0.1588785046728972]",0.48332220738762793,0.40594592072584235,0.07737628666178559,"[0.017182515755774733, 0.13824126613262125]",2564.158878504673,2415.0,,,1473.803738317757,,0.5738525390625,0.00390625,0.8125,1.0,1.0
fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,fixed,b0,108,0.7592592592592593,0.2222222222222222,0.5370370370370371,"[0.4351851851851852, 0.6388888888888888]",23,59,1,25,1.0581813203458523e-16,84,0.7023809523809523,0.0,0.7023809523809523,"[0.6071428571428571, 0.7976190476190477]",3.469446951953614e-18,24,0.041666666666666664,0.0,0.041666666666666664,"[0.0, 0.125]",1.0,0.5648148148148148,0.0,0.5648148148148148,"[0.4722222222222222, 0.6574074074074074]",8.673617379884035e-19,0.5462962962962963,0.0,0.5462962962962963,"[0.4537037037037037, 0.6388888888888888]",3.469446951953614e-18,0.6944444444444444,0.19444444444444445,0.5,"[0.4074074074074074, 0.5925925925925926]",0.7318134661271917,0.23015873015873017,0.5016547359684616,"[0.4060389433551198, 0.5970697167755991]",604.1018518518518,589.0,,,1688.2314814814815,,1.375635716449608e-15,4.163336342344337e-17,1.0,5.204170427930421e-18,3.122502256758253e-17
reverse_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,reverse,b0,107,0.6822429906542056,0.22429906542056074,0.4579439252336448,"[0.35514018691588783, 0.5514018691588785]",23,50,1,33,4.618527782440651e-14,83,0.6024096385542169,0.0,0.6024096385542169,"[0.4939759036144578, 0.7108433734939759]",1.7763568394002505e-15,24,0.041666666666666664,0.0,0.041666666666666664,"[0.0, 0.125]",1.0,0.40186915887850466,0.0,0.40186915887850466,"[0.308411214953271, 0.4953271028037383]",2.2737367544323206e-13,0.3925233644859813,0.0,0.3925233644859813,"[0.29906542056074764, 0.48598130841121495]",4.547473508864641e-13,0.616822429906542,0.19626168224299065,0.42056074766355134,"[0.3177570093457944, 0.514018691588785]",0.6574779444488076,0.23230974632843793,0.42516819812036966,"[0.3319118301526218, 0.5194932458964895]",582.2523364485982,582.0,,,1649.8971962616822,,6.004086117172847e-13,2.1316282072803006e-14,1.0,9.094947017729282e-13,2.2737367544323206e-12
