setting,dataset,model,condition,method,N,before_acc,after_acc,delta,recovered,recovery_den,recovery_rate,recovery_ci_exact,regressed,regression_den,regression_rate,regression_ci_exact,stayed_correct,stayed_wrong,structural_clearance,joint_full_repair,new_failure_rate,em_before,em_after,f1_before,f1_after,latency_mean_ms,latency_median_ms,tokens_mean
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,fixed,108,0.24074074074074073,0.5462962962962963,0.3055555555555556,37,82,0.45121951219512196,"[0.34100880021756363, 0.5650576036354417]",4,26,0.15384615384615385,"[0.043563476538923854, 0.34867878553536136]",22,45,0.5740740740740741,0.4074074074074074,0.0,0.21296296296296297,0.46296296296296297,0.2529100529100529,0.5148388648388649,600.5833333333334,583.0,1702.0740740740741
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,reverse,108,0.24074074074074073,0.5555555555555556,0.3148148148148148,40,82,0.4878048780487805,"[0.3757642445030387, 0.6007520977651923]",6,26,0.23076923076923078,"[0.08974011088457516, 0.4364750969413865]",20,42,0.7870370370370371,0.5,0.0,0.21296296296296297,0.46296296296296297,0.2529100529100529,0.5065055315055316,610.8425925925926,585.0,1735.5833333333333
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,b2,108,0.24074074074074073,0.5185185185185185,0.2777777777777778,55,82,0.6707317073170732,"[0.5581411993838856, 0.7705789124976453]",25,26,0.9615384615384616,"[0.803630353237461, 0.9990267121066649]",1,27,0.0,0.0,0.0,0.21296296296296297,0.46296296296296297,0.2529100529100529,0.5190688497553901,675.25,528.5,1505.351851851852
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,b3,108,0.24074074074074073,0.3888888888888889,0.14814814814814814,16,82,0.1951219512195122,"[0.11584269079505043, 0.29743599880814103]",0,26,0.0,"[0.0, 0.13227460449775408]",26,66,0.0,0.0,0.0,0.21296296296296297,0.35185185185185186,0.2529100529100529,0.3882047533363323,2646.5833333333335,2467.5,1476.6944444444443
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,b0,108,0.24074074074074073,0.24074074074074073,0.0,0,82,0.0,,0,26,0.0,,,,0.0,0.0,0.0,,,,,,,
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,fixed,107,0.4205607476635514,0.8037383177570093,0.38317757009345793,44,62,0.7096774193548387,"[0.5805097990433539, 0.8180059641321282]",3,45,0.06666666666666667,"[0.013965097044370543, 0.1826844565782268]",42,18,0.6728971962616822,0.5794392523364486,0.0,0.35514018691588783,0.7009345794392523,0.40594592072584235,0.7746180091974484,626.8130841121496,618.0,1792.177570093458
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,reverse,107,0.4205607476635514,0.7850467289719626,0.3644859813084112,43,62,0.6935483870967742,"[0.563497415296102, 0.8043859596271801]",4,45,0.08888888888888889,"[0.02475295778346905, 0.21221173695433954]",41,19,0.5514018691588785,0.4672897196261682,0.0,0.35514018691588783,0.7009345794392523,0.40594592072584235,0.7590930357285497,625.9345794392524,612.0,1784.1028037383178
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,b2,107,0.4205607476635514,0.2897196261682243,-0.1308411214953271,22,62,0.3548387096774194,"[0.237414280330425, 0.48663343034999634]",36,45,0.8,"[0.6540417022050522, 0.9042427303088574]",9,40,0.0,0.0,0.0,0.35514018691588783,0.2336448598130841,0.40594592072584235,0.24903455842278902,626.2897196261682,558.0,1552.5046728971963
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,b3,107,0.4205607476635514,0.48598130841121495,0.06542056074766354,12,62,0.1935483870967742,"[0.1042096292621763, 0.31368595169946273]",5,45,0.1111111111111111,"[0.03707666130719137, 0.2405358084955141]",40,50,0.0,0.0,0.0,0.35514018691588783,0.4485981308411215,0.40594592072584235,0.48332220738762793,2564.158878504673,2415.0,1473.803738317757
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,b0,107,0.4205607476635514,0.4205607476635514,0.0,0,62,0.0,,0,45,0.0,,,,0.0,0.0,0.0,,,,,,,
2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,fixed,108,0.2222222222222222,0.7592592592592593,0.5370370370370371,59,84,0.7023809523809523,"[0.5927236460873015, 0.7972708182071113]",1,24,0.041666666666666664,"[0.0010543524454697474, 0.2112016834569731]",23,25,0.5648148148148148,0.5462962962962963,0.0,0.19444444444444445,0.6944444444444444,0.23015873015873017,0.7318134661271917,604.1018518518518,589.0,1688.2314814814815
