setting,condition,method,source_file,raw_record_count,usable_trace_count,missing_trace_id_count,duplicate_trace_id_count,duplicate_trace_ids,baseline_unevaluable_count,final_unevaluable_count,baseline_mismatch_count,pairwise_trace_count,baseline_mismatch_excluded_count,A_available_trace_count,B_available_trace_count
2Wiki-Llama,M,fixed,raw results/2wiki+ollama/repaired_result/M_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,D,fixed,raw results/2wiki+ollama/repaired_result/D_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,L,fixed,raw results/2wiki+ollama/repaired_result/L_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,M_D,fixed,raw results/2wiki+ollama/repaired_result/M_D_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,M_D,reverse,raw results/2wiki+ollama/repaired_result/M_D_reverse_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,M_D,b2,raw results/2wiki+ollama/repaired_result/M_D_b2_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,M_D,b3,raw results/2wiki+ollama/repaired_result/M_D_b3_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,M_D,baseline_consensus,merged failure_evaluation from fixed/reverse/b2/b3,,108,,,,,,0,,,,
2Wiki-Llama,M_D,Fixed_vs_B0,pairwise intersection,,,,,,,,,108,0,108,108
2Wiki-Llama,M_D,Fixed_vs_B2,pairwise intersection,,,,,,,,,108,0,108,108
2Wiki-Llama,M_D,Fixed_vs_B3,pairwise intersection,,,,,,,,,108,0,108,108
2Wiki-Llama,M_D,Fixed_vs_Reverse,pairwise intersection,,,,,,,,,108,0,108,108
2Wiki-Llama,M_L,fixed,raw results/2wiki+ollama/repaired_result/M_L_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,M_L,reverse,raw results/2wiki+ollama/repaired_result/M_L_reverse_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,M_L,b2,raw results/2wiki+ollama/repaired_result/M_L_b2_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,M_L,b3,raw results/2wiki+ollama/repaired_result/M_L_b3_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,M_L,baseline_consensus,merged failure_evaluation from fixed/reverse/b2/b3,,107,,,,,,0,,,,
2Wiki-Llama,M_L,Fixed_vs_B0,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Llama,M_L,Fixed_vs_B2,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Llama,M_L,Fixed_vs_B3,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Llama,M_L,Fixed_vs_Reverse,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Llama,D_L,fixed,raw results/2wiki+ollama/repaired_result/D_L_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,D_L,reverse,raw results/2wiki+ollama/repaired_result/D_L_reverse_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,D_L,b2,raw results/2wiki+ollama/repaired_result/D_L_b2_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,D_L,b3,raw results/2wiki+ollama/repaired_result/D_L_b3_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,D_L,baseline_consensus,merged failure_evaluation from fixed/reverse/b2/b3,,108,,,,,,0,,,,
2Wiki-Llama,D_L,Fixed_vs_B0,pairwise intersection,,,,,,,,,108,0,108,108
2Wiki-Llama,D_L,Fixed_vs_B2,pairwise intersection,,,,,,,,,108,0,108,108
2Wiki-Llama,D_L,Fixed_vs_B3,pairwise intersection,,,,,,,,,107,0,108,107
2Wiki-Llama,D_L,Fixed_vs_Reverse,pairwise intersection,,,,,,,,,107,0,108,107
2Wiki-Llama,M_D_L,fixed,raw results/2wiki+ollama/repaired_result/M_D_L_repair_results.json,107,107,0,0,[],0,0,,,,,
2Wiki-Llama,M_D_L,reverse,raw results/2wiki+ollama/repaired_result/M_D_L_reverse_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,M_D_L,b2,raw results/2wiki+ollama/repaired_result/M_D_L_b2_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,M_D_L,b3,raw results/2wiki+ollama/repaired_result/M_D_L_b3_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Llama,M_D_L,baseline_consensus,merged failure_evaluation from fixed/reverse/b2/b3,,108,,,,,,0,,,,
2Wiki-Llama,M_D_L,Fixed_vs_B0,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Llama,M_D_L,Fixed_vs_B2,pairwise intersection,,,,,,,,,107,0,107,108
2Wiki-Llama,M_D_L,Fixed_vs_B3,pairwise intersection,,,,,,,,,107,0,107,108
2Wiki-Llama,M_D_L,Fixed_vs_Reverse,pairwise intersection,,,,,,,,,107,0,107,108
2Wiki-Qwen,M,fixed,raw results/2wiki+qwen/repaired_result/M_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Qwen,D,fixed,raw results/2wiki+qwen/repaired_result/D_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Qwen,L,fixed,raw results/2wiki+qwen/repaired_result/L_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Qwen,M_D,fixed,raw results/2wiki+qwen/repaired_result/M_D_repair_results.json,108,107,0,0,[],1,0,,,,,
2Wiki-Qwen,M_D,reverse,raw results/2wiki+qwen/repaired_result/M_D_reverse_repair_results.json,108,107,0,0,[],1,0,,,,,
2Wiki-Qwen,M_D,b2,raw results/2wiki+qwen/repaired_result/M_D_b2_repair_results.json,108,107,0,0,[],1,0,,,,,
2Wiki-Qwen,M_D,b3,raw results/2wiki+qwen/repaired_result/M_D_b3_repair_results.json,108,107,0,0,[],1,0,,,,,
2Wiki-Qwen,M_D,baseline_consensus,merged failure_evaluation from fixed/reverse/b2/b3,,107,,,,,,0,,,,
2Wiki-Qwen,M_D,Fixed_vs_B0,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Qwen,M_D,Fixed_vs_B2,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Qwen,M_D,Fixed_vs_B3,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Qwen,M_D,Fixed_vs_Reverse,pairwise intersection,,,,,,,,,107,0,107,107
2Wiki-Qwen,M_L,fixed,raw results/2wiki+qwen/repaired_result/M_L_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Qwen,M_L,reverse,raw results/2wiki+qwen/repaired_result/M_L_reverse_repair_results.json,108,108,0,0,[],0,0,,,,,
2Wiki-Qwen,M_L,b2,raw results/2wiki+qwen/repaired_result/M_L_b2_repair_results.json,108,108,0,0,[],0,0,,,,,
