comparison,setting,dataset,model,condition,A_method,B_method,N,A_acc,B_acc,delta,delta_ci,both_correct,A_only_correct,B_only_correct,both_wrong,mcnemar_p,baseline_wrong_N,A_recovery,B_recovery,recovery_delta,recovery_delta_ci,recovery_mcnemar_p,baseline_correct_N,A_regression,B_regression,regression_delta,regression_delta_ci,regression_mcnemar_p,A_structural_clearance,B_structural_clearance,structural_delta,structural_delta_ci,structural_mcnemar_p,A_joint_full_repair,B_joint_full_repair,joint_delta,joint_delta_ci,joint_mcnemar_p,A_em,B_em,em_delta,em_delta_ci,A_f1,B_f1,f1_delta,f1_delta_ci,A_latency_mean_ms,A_latency_median_ms,B_latency_mean_ms,B_latency_median_ms,A_tokens_mean,B_tokens_mean,holm_p,recovery_holm_p,regression_holm_p,structural_holm_p,joint_holm_p
Fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,fixed,b0,108,0.5462962962962963,0.24074074074074073,0.3055555555555556,"[0.2037037037037037, 0.4074074074074074]",22,37,4,45,1.0258372640237212e-07,82,0.45121951219512196,0.0,0.45121951219512196,"[0.34146341463414637, 0.5609756097560976]",1.4551915228366852e-11,26,0.15384615384615385,0.0,0.15384615384615385,"[0.038461538461538464, 0.3076923076923077]",0.125,0.5740740740740741,0.0,0.5740740740740741,"[0.48148148148148145, 0.6666666666666666]",4.336808689942018e-19,0.4074074074074074,0.0,0.4074074074074074,"[0.3148148148148148, 0.5]",1.1368683772161603e-13,0.46296296296296297,0.21296296296296297,0.25,"[0.1574074074074074, 0.35185185185185186]",0.5148388648388649,0.2529100529100529,0.26192881192881196,"[0.16437129228795896, 0.35880270963604294]",600.5833333333334,583.0,,,1702.0740740740741,,2.0516745280474424e-07,4.3655745685100555e-11,1.0,3.0357660829594124e-18,3.410605131648481e-13
Fixed_vs_B2,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,fixed,b2,108,0.5462962962962963,0.5185185185185185,0.02777777777777779,"[-0.1111111111111111, 0.16666666666666666]",26,33,30,19,0.8013064925040663,82,0.45121951219512196,0.6707317073170732,-0.21951219512195125,"[-0.36585365853658536, -0.07317073170731707]",0.007915897334896727,26,0.15384615384615385,0.9615384615384616,-0.8076923076923077,"[-0.9615384615384616, -0.6538461538461539]",9.5367431640625e-07,0.5740740740740741,0.0,0.5740740740740741,"[0.48148148148148145, 0.6666666666666666]",4.336808689942018e-19,0.4074074074074074,0.0,0.4074074074074074,"[0.3148148148148148, 0.5]",1.1368683772161603e-13,0.46296296296296297,0.46296296296296297,0.0,"[-0.1388888888888889, 0.1388888888888889]",0.5148388648388649,0.5190688497553901,-0.0042299849165252645,"[-0.13809453983837014, 0.12797153150039245]",600.5833333333334,583.0,675.25,528.5,1702.0740740740741,1505.351851851852,0.8013064925040663,0.03957948667448363,1.239776611328125e-05,3.0357660829594124e-18,3.410605131648481e-13
Fixed_vs_B3,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,fixed,b3,108,0.5462962962962963,0.3888888888888889,0.15740740740740738,"[0.046296296296296294, 0.26851851851851855]",31,28,11,38,0.009475304279476404,82,0.45121951219512196,0.1951219512195122,0.25609756097560976,"[0.12195121951219512, 0.3902439024390244]",0.0005082604475319386,26,0.15384615384615385,0.0,0.15384615384615385,"[0.038461538461538464, 0.3076923076923077]",0.125,0.5740740740740741,0.0,0.5740740740740741,"[0.48148148148148145, 0.6666666666666666]",4.336808689942018e-19,0.4074074074074074,0.0,0.4074074074074074,"[0.3148148148148148, 0.5]",1.1368683772161603e-13,0.46296296296296297,0.35185185185185186,0.1111111111111111,"[0.009259259259259259, 0.21296296296296297]",0.5148388648388649,0.3882047533363323,0.12663411150253256,"[0.023350427593848647, 0.23042541908221728]",600.5833333333334,583.0,2646.5833333333335,2467.5,1702.0740740740741,1476.6944444444443,0.028425912838429213,0.0015247813425958157,1.0,3.0357660829594124e-18,3.410605131648481e-13
Fixed_vs_Reverse,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_D,fixed,reverse,108,0.5462962962962963,0.5555555555555556,-0.0092592592592593,"[-0.07407407407407407, 0.06481481481481481]",52,7,8,41,1.0,82,0.45121951219512196,0.4878048780487805,-0.036585365853658514,"[-0.12195121951219512, 0.04878048780487805]",0.5810546875,26,0.15384615384615385,0.23076923076923078,-0.07692307692307693,"[-0.19230769230769232, 0.0]",0.5,0.5740740740740741,0.7870370370370371,-0.21296296296296302,"[-0.3055555555555556, -0.12962962962962962]",1.5236437320709229e-05,0.4074074074074074,0.5,-0.09259259259259262,"[-0.17592592592592593, -0.018518518518518517]",0.04138946533203125,0.46296296296296297,0.46296296296296297,0.0,"[-0.06481481481481481, 0.06481481481481481]",0.5148388648388649,0.5065055315055316,0.008333333333333304,"[-0.06111111111111111, 0.07777777777777778]",600.5833333333334,583.0,610.8425925925926,585.0,1702.0740740740741,1735.5833333333333,1.0,1.0,1.0,0.00019807368516921997,0.4138946533203125
Fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,fixed,b0,107,0.8037383177570093,0.4205607476635514,0.38317757009345793,"[0.2803738317757009, 0.48598130841121495]",42,44,3,18,2.4647306418046355e-10,62,0.7096774193548387,0.0,0.7096774193548387,"[0.5967741935483871, 0.8225806451612904]",1.1368683772161603e-13,45,0.06666666666666667,0.0,0.06666666666666667,"[0.0, 0.15555555555555556]",0.25,0.6728971962616822,0.0,0.6728971962616822,"[0.5794392523364486, 0.7570093457943925]",4.235164736271502e-22,0.5794392523364486,0.0,0.5794392523364486,"[0.48598130841121495, 0.6728971962616822]",4.336808689942018e-19,0.7009345794392523,0.35514018691588783,0.34579439252336447,"[0.24299065420560748, 0.4485981308411215]",0.7746180091974484,0.40594592072584235,0.36867208847160604,"[0.2750491336118409, 0.4619151850017466]",626.8130841121496,618.0,,,1792.177570093458,,1.7253114492632449e-09,6.821210263296962e-13,1.0,4.658681209898652e-21,4.7704895589362195e-18
Fixed_vs_B2,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,fixed,b2,107,0.8037383177570093,0.2897196261682243,0.514018691588785,"[0.3925233644859813, 0.6355140186915887]",23,63,8,13,1.0271364278048329e-11,62,0.7096774193548387,0.3548387096774194,0.3548387096774194,"[0.1774193548387097, 0.5161290322580645]",0.00031255115754902363,45,0.06666666666666667,0.8,-0.7333333333333334,"[-0.8666666666666667, -0.5777777777777777]",2.0954757928848267e-09,0.6728971962616822,0.0,0.6728971962616822,"[0.5794392523364486, 0.7570093457943925]",4.235164736271502e-22,0.5794392523364486,0.0,0.5794392523364486,"[0.48598130841121495, 0.6728971962616822]",4.336808689942018e-19,0.7009345794392523,0.2336448598130841,0.46728971962616817,"[0.34579439252336447, 0.5794392523364486]",0.7746180091974484,0.24903455842278902,0.5255834507746594,"[0.411639663832751, 0.6373738416454915]",626.8130841121496,618.0,626.2897196261682,558.0,1792.177570093458,1552.5046728971963,1.1298500705853162e-10,0.0021878581028431654,3.14321368932724e-08,4.658681209898652e-21,4.7704895589362195e-18
Fixed_vs_B3,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,fixed,b3,107,0.8037383177570093,0.48598130841121495,0.3177570093457944,"[0.205607476635514, 0.4205607476635514]",47,39,5,16,1.4051624930289108e-07,62,0.7096774193548387,0.1935483870967742,0.5161290322580645,"[0.3709677419354839, 0.6451612903225806]",1.941225491464138e-08,45,0.06666666666666667,0.1111111111111111,-0.04444444444444444,"[-0.17777777777777778, 0.06666666666666667]",0.7265625,0.6728971962616822,0.0,0.6728971962616822,"[0.5887850467289719, 0.7570093457943925]",4.235164736271502e-22,0.5794392523364486,0.0,0.5794392523364486,"[0.48598130841121495, 0.6728971962616822]",4.336808689942018e-19,0.7009345794392523,0.4485981308411215,0.2523364485981308,"[0.14953271028037382, 0.34579439252336447]",0.7746180091974484,0.48332220738762793,0.29129580180982045,"[0.19563798026998963, 0.38665034861296543]",626.8130841121496,618.0,2564.158878504673,2415.0,1792.177570093458,1473.803738317757,1.1241299944231287e-06,1.5529803931713104e-07,1.0,4.658681209898652e-21,4.7704895589362195e-18
Fixed_vs_Reverse,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M_L,fixed,reverse,107,0.8037383177570093,0.7850467289719626,0.01869158878504673,"[-0.037383177570093455, 0.07476635514018691]",80,6,4,17,0.75390625,62,0.7096774193548387,0.6935483870967742,0.016129032258064502,"[-0.06451612903225806, 0.0967741935483871]",1.0,45,0.06666666666666667,0.08888888888888889,-0.022222222222222227,"[-0.08888888888888889, 0.044444444444444446]",1.0,0.6728971962616822,0.5514018691588785,0.12149532710280375,"[0.037383177570093455, 0.205607476635514]",0.01463329792022705,0.5794392523364486,0.4672897196261682,0.11214953271028033,"[0.028037383177570093, 0.19626168224299065]",0.01690053939819336,0.7009345794392523,0.7009345794392523,0.0,"[-0.06542056074766354, 0.06542056074766354]",0.7746180091974484,0.7590930357285497,0.015524973468898695,"[-0.04383622607921673, 0.07627263702030057]",626.8130841121496,618.0,625.9345794392524,612.0,1792.177570093458,1784.1028037383178,1.0,1.0,1.0,0.1463329792022705,0.18590593338012695
Fixed_vs_B0,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,fixed,b0,108,0.7592592592592593,0.2222222222222222,0.5370370370370371,"[0.4351851851851852, 0.6296296296296297]",23,59,1,25,1.0581813203458523e-16,84,0.7023809523809523,0.0,0.7023809523809523,"[0.6071428571428571, 0.7976190476190477]",3.469446951953614e-18,24,0.041666666666666664,0.0,0.041666666666666664,"[0.0, 0.125]",1.0,0.5648148148148148,0.0,0.5648148148148148,"[0.4722222222222222, 0.6574074074074074]",8.673617379884035e-19,0.5462962962962963,0.0,0.5462962962962963,"[0.4537037037037037, 0.6388888888888888]",3.469446951953614e-18,0.6944444444444444,0.19444444444444445,0.5,"[0.4074074074074074, 0.5925925925925926]",0.7318134661271917,0.23015873015873017,0.5016547359684616,"[0.40632988380537405, 0.596233076563959]",604.1018518518518,589.0,,,1688.2314814814815,,1.375635716449608e-15,4.163336342344337e-17,1.0,5.204170427930421e-18,3.122502256758253e-17
Fixed_vs_B2,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D_L,fixed,b2,108,0.7592592592592593,0.5833333333333334,0.17592592592592593,"[0.046296296296296294, 0.3055555555555556]",47,35,16,10,0.010973562899720513,84,0.7023809523809523,0.7142857142857143,-0.011904761904761973,"[-0.14285714285714285, 0.10714285714285714]",1.0,24,0.041666666666666664,0.875,-0.8333333333333334,"[-1.0, -0.625]",1.0967254638671875e-05,0.5648148148148148,0.0,0.5648148148148148,"[0.4722222222222222, 0.6574074074074074]",8.673617379884035e-19,0.5462962962962963,0.0,0.5462962962962963,"[0.4537037037037037, 0.6388888888888888]",3.469446951953614e-18,0.6944444444444444,0.5370370370370371,0.15740740740740733,"[0.037037037037037035, 0.2777777777777778]",0.7318134661271917,0.5892351475684809,0.14257831855871073,"[0.02801969227214326, 0.2548388616648421]",604.1018518518518,589.0,561.7870370370371,538.0,1688.2314814814815,1615.4259259259259,0.021947125799441025,1.0,9.870529174804688e-05,5.204170427930421e-18,3.122502256758253e-17
