comparison,setting,condition,N,A_method,B_method,A_acc,B_acc,delta,delta_ci,both_correct,A_only_correct,B_only_correct,both_wrong,mcnemar_p,holm_p
Fixed_vs_B0,2Wiki-Llama,M_D,108,fixed,b0,0.5462962962962963,0.24074074074074073,0.3055555555555556,"[0.2037037037037037, 0.4074074074074074]",22,37,4,45,1.0258372640237212e-07,2.0516745280474424e-07
Fixed_vs_B2,2Wiki-Llama,M_D,108,fixed,b2,0.5462962962962963,0.5185185185185185,0.02777777777777779,"[-0.1111111111111111, 0.16666666666666666]",26,33,30,19,0.8013064925040663,0.8013064925040663
Fixed_vs_B3,2Wiki-Llama,M_D,108,fixed,b3,0.5462962962962963,0.3888888888888889,0.15740740740740738,"[0.046296296296296294, 0.26851851851851855]",31,28,11,38,0.009475304279476404,0.028425912838429213
Fixed_vs_Reverse,2Wiki-Llama,M_D,108,fixed,reverse,0.5462962962962963,0.5555555555555556,-0.0092592592592593,"[-0.07407407407407407, 0.06481481481481481]",52,7,8,41,1.0,1.0
Fixed_vs_B0,2Wiki-Llama,M_L,107,fixed,b0,0.8037383177570093,0.4205607476635514,0.38317757009345793,"[0.2803738317757009, 0.48598130841121495]",42,44,3,18,2.4647306418046355e-10,1.7253114492632449e-09
Fixed_vs_B2,2Wiki-Llama,M_L,107,fixed,b2,0.8037383177570093,0.2897196261682243,0.514018691588785,"[0.3925233644859813, 0.6355140186915887]",23,63,8,13,1.0271364278048329e-11,1.1298500705853162e-10
Fixed_vs_B3,2Wiki-Llama,M_L,107,fixed,b3,0.8037383177570093,0.48598130841121495,0.3177570093457944,"[0.205607476635514, 0.4205607476635514]",47,39,5,16,1.4051624930289108e-07,1.1241299944231287e-06
Fixed_vs_Reverse,2Wiki-Llama,M_L,107,fixed,reverse,0.8037383177570093,0.7850467289719626,0.01869158878504673,"[-0.037383177570093455, 0.07476635514018691]",80,6,4,17,0.75390625,1.0
Fixed_vs_B0,2Wiki-Llama,D_L,108,fixed,b0,0.7592592592592593,0.2222222222222222,0.5370370370370371,"[0.4351851851851852, 0.6296296296296297]",23,59,1,25,1.0581813203458523e-16,1.375635716449608e-15
Fixed_vs_B2,2Wiki-Llama,D_L,108,fixed,b2,0.7592592592592593,0.5833333333333334,0.17592592592592593,"[0.046296296296296294, 0.3055555555555556]",47,35,16,10,0.010973562899720513,0.021947125799441025
