N,before_acc,after_acc,delta,recovered,recovery_den,recovery_rate,recovery_ci_exact,regressed,regression_den,regression_rate,regression_ci_exact,stayed_correct,stayed_wrong,structural_clearance,joint_full_repair,new_failure_rate,em_before,em_after,f1_before,f1_after,latency_mean_ms,latency_median_ms,tokens_mean,setting,dataset,model,condition,delta_ci,mcnemar_p,holm_p
108,0.5555555555555556,0.6481481481481481,0.09259259259259259,21,48,0.4375,"[0.294801241333832, 0.5881916411593545]",11,60,0.18333333333333332,"[0.09523582291656378, 0.3043960547407762]",49,27,1.0,0.6481481481481481,0.0,0.5185185185185185,0.6018518518518519,0.5709395542728876,0.6404091826908334,727.4074074074074,606.5,1881.0740740740741,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,M,"[-0.009259259259259259, 0.19444444444444445]",0.11018416518345475,0.33055249555036426
108,0.35185185185185186,0.7407407407407407,0.3888888888888889,42,70,0.6,"[0.4759319252890307, 0.7153288984281267]",0,38,0.0,"[0.0, 0.09251276141587829]",38,28,0.6481481481481481,0.6296296296296297,0.0,0.2962962962962963,0.6574074074074074,0.3487654320987654,0.7085661116298371,417.6296296296296,477.0,1163.8333333333333,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,D,"[0.2962962962962963, 0.48148148148148145]",4.547473508864641e-13,4.092726157978177e-12
107,0.6728971962616822,0.8317757009345794,0.1588785046728972,18,35,0.5142857142857142,"[0.33989141539097784, 0.6861714907852767]",1,72,0.013888888888888888,"[0.0003515744052335976, 0.07497131085391912]",71,17,0.6355140186915887,0.5981308411214953,0.0,0.5981308411214953,0.7289719626168224,0.6545838896306185,0.7950395398993529,485.803738317757,573.0,1363.6168224299065,2Wiki-Llama,2wikimultihopqa,llama3.1:8b,L,"[0.08411214953271028, 0.2336448598130841]",7.62939453125e-05,0.0006103515625
108,0.6481481481481481,0.7870370370370371,0.1388888888888889,23,38,0.6052631578947368,"[0.43386153860952953, 0.7596121063559645]",8,70,0.11428571428571428,"[0.05065219879035646, 0.21282804216909026]",62,15,1.0,0.7870370370370371,0.0,0.5833333333333334,0.7037037037037037,0.6334616001282668,0.7561167227833894,870.1944444444445,830.0,2004.2222222222222,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,M,"[0.037037037037037035, 0.24074074074074073]",0.010673840530216694,0.05336920265108347
108,0.2037037037037037,0.6481481481481481,0.4444444444444444,48,86,0.5581395348837209,"[0.4469535664159981, 0.6652055441010939]",0,22,0.0,"[0.0, 0.15437251281557454]",22,38,0.6759259259259259,0.5740740740740741,0.0,0.17592592592592593,0.5740740740740741,0.21236772486772487,0.6188932980599647,609.2777777777778,769.0,1438.138888888889,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,D,"[0.35185185185185186, 0.5370370370370371]",7.105427357601002e-15,7.815970093361102e-14
108,0.7129629629629629,0.7777777777777778,0.06481481481481481,11,31,0.3548387096774194,"[0.19226743442597796, 0.5463043980493616]",4,77,0.05194805194805195,"[0.014333514116461103, 0.127698603752203]",73,20,0.7129629629629629,0.6111111111111112,0.0,0.6203703703703703,0.6759259259259259,0.6783159227603671,0.7329455523899968,621.0648148148148,762.5,1413.4259259259259,2Wiki-Qwen,2wikimultihopqa,qwen3.5:9b,L,"[0.0, 0.1388888888888889]",0.11846923828124999,0.33055249555036426
108,0.6851851851851852,0.8518518518518519,0.16666666666666666,20,34,0.5882352941176471,"[0.4069694329708481, 0.7535292647022493]",2,74,0.02702702702702703,"[0.003290022718106618, 0.09424433948451921]",72,14,1.0,0.8518518518518519,0.0,0.4722222222222222,0.5833333333333334,0.6171626984126983,0.7527888007054673,630.4814814814815,616.0,1818.3425925925926,Hotpot-Llama,hotpotqa,llama3.1:8b,M,"[0.09259259259259259, 0.25]",0.00012111663818359375,0.0008478164672851562
108,0.4444444444444444,0.8611111111111112,0.4166666666666667,45,60,0.75,"[0.6214036445204557, 0.8528139262009964]",0,48,0.0,"[0.0, 0.0739727853472802]",48,15,0.7129629629629629,0.7129629629629629,0.0,0.3055555555555556,0.6111111111111112,0.44288653733098177,0.7793656446434225,442.037037037037,561.5,1289.9074074074074,Hotpot-Llama,hotpotqa,llama3.1:8b,D,"[0.32407407407407407, 0.5092592592592593]",5.684341886080802e-14,5.684341886080801e-13
103,0.8640776699029126,0.941747572815534,0.07766990291262135,9,14,0.6428571428571429,"[0.3513801106159917, 0.8724015701408404]",1,89,0.011235955056179775,"[0.0002844292949488092, 0.06101830434708265]",88,5,0.6310679611650486,0.6213592233009708,0.0,0.6504854368932039,0.7184466019417476,0.7805748189243336,0.8485359839728772,468.99029126213594,615.0,1363.0970873786407,Hotpot-Llama,hotpotqa,llama3.1:8b,L,"[0.019417475728155338, 0.13592233009708737]",0.021484375,0.0859375
108,0.7962962962962963,0.9166666666666666,0.12037037037037036,16,22,0.7272727272727273,"[0.49777879873365116, 0.892710751629603]",3,86,0.03488372093023256,"[0.007252456428303052, 0.09857616398853222]",83,6,1.0,0.9166666666666666,0.0,0.6018518518518519,0.7037037037037037,0.750471392260608,0.8534034910260401,834.425925925926,820.5,1897.0462962962963,Hotpot-Qwen,hotpotqa,qwen3.5:9b,M,"[0.046296296296296294, 0.19444444444444445]",0.004425048828125,0.02655029296875
